نام,آدرس,نوع پست,ظرفیت,فیدر,کد شناسایی
گلستان8,شهرک بهشتی گلستان3,عمومى,1630,شهید مقدم - فیدر دیلمان,E3101@NZ000SB00077
مناطق,بلوار انصاری کوی مستشاری,عمومى,1000,شهید مقدم - فیدر کانادا,E3101@NZ000SB00079
مسافری,بمسافري - بلوار شهيد انصاري روبروي كوي امام رضا (ع) کوچه وحدت,عمومی و اختصاصی,630,شهید مقدم - فیدر رینگ شهر,E3101@NZ000SB00080
پارک توحید,بلوار توحید پست توحید,عمومى,1000,قلی پور - فیدر توحید,E3101@NZ000SB00081
صادقی نژاد,بلوار گلسار ابتدای خیابان 105,عمومى,1250,شهید مقدم - فیدر گلسار 6,E3101@NZ000SB00082
گلسار2,بلوار گلسار نبش خ 104,عمومی و اختصاصی,1000,شهید مقدم - فیدر گلسار 6,E3101@NZ000SB00083
رضوی,رضوي-گلسار بين خ 104و 102,عمومى,1600,شهید مقدم - فیدر گلسار 6,E3101@NZ000SB00084
فرهنگیان2,بلوار گلسار خیابان 98,عمومی و اختصاصی,1600,قلی پور - فیدر فرهنگیان,E3101@NZ000SB00085
بنیاد شهید,گلسار خیابان 97,عمومی و اختصاصی,1250,قلی پور - فیدر فرهنگیان,E3101@NZ000SB00087
فروهری,بلوار گلسار خ 95,عمومی و اختصاصی,1000,قلی پور - فیدر فرهنگیان,E3101@NZ000SB00088
مرادی,بلوار اردشیری پشت فروشگاه ایرونی,عمومى,630,قلی پور - فیدر فرهنگیان,E3101@NZ000SB00089
ولیعصر,میدان قلی پور گرمابه ولیعصر,عمومى,630,قلی پور - فیدر یادگار امام,E3101@NZ000SB00090
نامجو,بلوار شهید قلی پور کوچه سردارن پوشیده نامجو,عمومى,800,قلی پور - فیدر مجتمع آزادگان,E3102@NZ000SB00093
طاق بتنی1,خ سعدي داخل مجتمع آزادگان,عمومى,1600,قلی پور - فیدر مجتمع آزادگان,E3102@NZ000SB00094
اوقاف,بلوار گلسار جنب اداره اوقاف و امور خیریه,عمومی و اختصاصی,1000,قلی پور - فیدر نواب,E3101@NZ000SB00093
چهارراه  گلسار  مخابرات,چهارراه  گلسار ,اختصاصی,0,قلی پور - فیدر نواب,E3101@NZ000SB00094
نواب,خیابان سعدی خیابان نواب صفوی-جنب ساختمان پزشکان,عمومی و اختصاصی,800,قلی پور - فیدر نواب,E3101@NZ000SB00095
 مشخ,خ بوسار داخل کوچه شهید مشخ,عمومى,1000,قلی پور - فیدر مجتمع آزادگان,E3102@NZ000SB00095
طاق بتنی 2,خ سعدي داخل مجتمع آزادگان,عمومی و اختصاصی,1300,قلی پور - فیدر مجتمع آزادگان,E3102@NZ000SB00096
ره پیک دیلمان,بلوار سمیه ,عمومی و اختصاصی,800,شهید مقدم - فیدر گلسار 7,E3101@00000SB00361
کامپکت(فشرده) صفرپور, خیابان دفاع ژاندارمری کوچه شهرام علیزاده,عمومى,1250,شهید مقدم - فیدر تختی,E3101@00000SB00362
 دکتر نجفی,خیابان نواب کوچه بهار کامپکت(فشرده),عمومی و اختصاصی,800,قلی پور - فیدر نواب,E3101@00000SB00365
کامپکت(فشرده) دانا,پل بوسار خیابان نواب,عمومی و اختصاصی,1000,قلی پور - فیدر نواب,E3101@00000SB00366
ایرانیان,میدان باستانی شعار (صابرین),عمومی و اختصاصی,1250,قلی پور - فیدر فرهنگیان,E3101@00000SB00369
پردیسان 3,بلوار انصاری کوی ارشاد مجتمع پردیسان,عمومى,1430,شهید مقدم - فیدر پردیسان,E3101@00000SB00372
پور مقدم,گلسار انتهای خیابان 104,عمومى,1600,شهید مقدم - فیدر دیلمان,E3101@00000SB00373
میدان تختی,بلوار انصاری کوچه چاپ جاوید .,عمومی و اختصاصی,800,معلم - فیدر باقرآباد,E3101@NZ000SB00238
ره پیک چهار راه گلساز,چهار راه گلسار ابتدای تختی,عمومی و اختصاصی,1250,معلم - فیدر باقرآباد,E3101@NZ000SB00239
بهره مند - برنامه و بودجه,خیابا سعدی کوچه حق شناس ,عمومی و اختصاصی,1250,معلم - فیدر انصاری,E3101@NZ000SB00240
تعاونی روستایی,خیابان سعدی شهر و روستا,اختصاصی,0,معلم - فیدر باقرآباد,E3101@NZ000SB00242
بهار,خیابان تختی چهارراه انبار نفت کوچه بهار,عمومى,1000,معلم - فیدر باقرآباد,E3101@NZ000SB00245
خسراقی,خیابان تختی کوچه خسراقی,عمومى,1000,معلم - فیدر باقرآباد,E3101@NZ000SB00246
سرخبنده,بلوار احسان بخش خیابان تختی کوچه سرخبنده,عمومى,500,معلم - فیدر باقرآباد,E3101@NZ000SB00247
پاساژ تختی,خیابان تختی  پاساژ تختی کوچه چکشلار چکش لار - ,عمومی و اختصاصی,1000,رشت مرکزی - فیدر صیقلان,E3101@NZ000SB00248
کیوسک 110,خیابان سعدی خط ماشین خیابان کارگر,عمومى,630,رشت مرکزی - فیدر سعدی,E3101@NZ000SB00249
طالایی,خیابان تختی کوچه لاله,عمومى,1250,معلم - فیدر باقرآباد,E3101@NZ000SB00250
کاتوزیان,خیابان تختی,عمومی و اختصاصی,1000,معلم - فیدر باقرآباد,E3101@NZ000SB00251
دکتر جاویدی,خیابان تختی روبروی کوچه گلستان ,عمومى,1000,معلم - فیدر باقرآباد,E3101@NZ000SB00252
ماکروویو,میدان شهرداری,عمومی و اختصاصی,800,رشت مرکزی - فیدر سعدی,E3101@NZ000SB00271
خوشبین,خیابان شریعتی پشت پاساژکویتی,عمومی و اختصاصی,1250,رشت مرکزی - فیدر صیقلان,E3101@NZ000SB00273
زندان,میدان شهداء جنب زندان شهربانی-سازمان زندانها,عمومی و اختصاصی,1600,رشت مرکزی - فیدر سعدی,E3101@NZ000SB00275
بانک ملت (طهران),خیابان شریعتی,عمومی و اختصاصی,315,رشت مرکزی - فیدر سعدی,E3101@NZ000SB00281
دافساری,خیابان شهدا 20 متری دافساری ,عمومى,1250,شهید مقدم - فیدر دیانتی,E3101@NZ000SB00308
افراء,بلوار سمیه  انتهای خیابان 126 مجتمع افرا,عمومى,1000,توحید - فیدر استاد معین,E3101@00000SB00315
کامپکت (فشرده) 118,گلسار خیابان 118,عمومی و اختصاصی,1250,شهید مقدم - فیدر گلسار 7,E3101@00000SB00336
متحدین,خیابان شهدا کوچه متحدین کوچه سوم,عمومى,1000,شهید مقدم - فیدر دیانتی,E3101@00000SB00337
پمپ بنزین گلساران,جاده پیربازار تخته پل پمپ بنزین گلساران,اختصاصی,0,توحید - فیدر پیربازار,E3101@00000SB00340
شالکو,خیابان امین الضرب,عمومى,630,معلم - فیدر انصاری,E3101@00000SB00345
جانبازان,گلسار خیابان استاد معین,عمومى,1250,,E3101@00000SB00380
توحید 7,بلوار سمیه انتهای خیابان 132,عمومى,1000,شهید مقدم - فیدر گلسار 7,E3101@00000SB00382
موسسه مالی اعتباری مهر اقتصاد,بلوار انصاری پارس 1,اختصاصی,0,شهید مقدم - فیدر تختی,E3101@00000SB00502
نیک نژاد,خیابان تختی یک نژاد,عمومى,1000,رشت مرکزی - فیدر صیقلان,E3101@00000SB00504
زیر کوچه,خیابان شریعتی زیر کوچه,عمومی و اختصاصی,1600,رشت مرکزی - فیدر سعدی,E3101@00000SB00505
هلال احمر 1,خیابان سعدی خیابان فرقان بین,عمومی و اختصاصی,800,معلم - فیدر باقرآباد,E3101@00000SB00506
حاج صمدخان,خیابان سعدی خیابان فرقان بین,عمومی و اختصاصی,630,معلم - فیدر زرجوب,E3101@00000SB00507
باقر آباد 1,باقر آباد ,عمومی و اختصاصی,630,معلم - فیدر باقرآباد,E3101@00000SB00508
مخابرات مرکز 7,بلوار انصاری کوچه صنایع دستی ,اختصاصی,0,شهید مقدم - فیدر کانادا,E3101@00000SB00511
بانک ملی,چهارراه گلسار ابتدای بلوار انصاری کوچه بخت پسند,اختصاصی,0,قلی پور - فیدر نواب,E3101@00000SB00512
رادیو,بلوار انصاری رادیو آزادگان,اختصاصی,0,شهید مقدم - فیدر کانادا,E3101@00000SB00513
انصاري ک فردوسي چيني چيان,بلوار انصاری - کوچه فردوسی,عمومی و اختصاصی,1000,شهید مقدم - فیدر کانادا,E3101@00000SB00514
آریا,جاده  انزلی بیمارستان آریا,اختصاصی,0,پوشش - فیدر هلال احمر,E3101@00000SB00515
فرودگاه,جاده انزلی,اختصاصی,0,پوشش - فیدر هلال احمر,E3101@00000SB00516
سوخت رسانی فرودگاه,جاده  انزلی فرودگاه,اختصاصی,0,پوشش - فیدر هلال احمر,E3101@00000SB00517
نظام مهندسی,بلوار انصاری نظام مهندسی,عمومی و اختصاصی,500,شهید مقدم - فیدر تختی,E3101@00000SB00518
شفاعت طلب,بلوار انصاری انتهای ارشاد کوچه 15,عمومى,800,شهید مقدم - فیدر دیانتی,E3101@00000SB00519
مارلیک,بلوار انصاری گلباغ نماز,عمومى,800,شهید مقدم - فیدر تختی,E3101@00000SB00526
خیابان 176 ارکیده_کیوسک مخابرات,بلوار گیلان خیابان 176 ارکیده ,عمومی و اختصاصی,1000,توحید - فیدر بلوار گیلان,E3101@00000SB00462
برج گلسار,بلوار توحید کوچه حکمت ,عمومی و اختصاصی,2400,قلی پور - فیدر توحید,E3101@00000SB00466
بانک ملت,گلسار خیابان 101,عمومی و اختصاصی,1250,قلی پور - فیدر فرهنگیان,E3101@00000SB00467
تجهیزات پستی,خیابان نواب پشت اداره پست,عمومی و اختصاصی,1250,قلی پور - فیدر نواب,E3101@00000SB00472
کانادا,بلوار انصاری  روبروی رادیو,عمومی و اختصاصی,630,شهید مقدم - فیدر کانادا,E3101@00000SB00501
تخته پل کوی طالقانی تصفیه خانه PSK,تخته پل کوی طالقانی تصفیه خانه PSK,اختصاصی,0,توحید - فیدر پیربازار,E3101@00000SB00543
کامپکت(فشرده) هایپر مارکت,انتهای بلوار دیلمان ,عمومی و اختصاصی,1250,شهید مقدم - فیدر دیلمان,E3101@00000SB00549
